tube,V_ctl,R_DS,x,absVd,phase_Vd_deg,abs_n_diff,phase_n_diff_deg,demod_dc_mV
ILC1-1/7,-0.1537,168.82,0.10607,0.80505,-96.05,0.182648,-96.05,-12.2650
ILC1-1/7,-0.1575,169.29,0.10637,0.80728,-96.07,0.183152,-96.07,-12.3328
ILC1-1/7,-0.1613,169.76,0.10667,0.80951,-96.09,0.183660,-96.09,-12.4012
ILC1-1/7,-0.1650,170.24,0.10697,0.81176,-96.11,0.184170,-96.11,-12.4702
ILC1-1/7,-0.1688,170.72,0.10727,0.81402,-96.12,0.184683,-96.12,-12.5398
ILC1-1/7,-0.1725,171.20,0.10757,0.81630,-96.14,0.185198,-96.14,-12.6099
ILC1-1/7,-0.1762,171.69,0.10788,0.81858,-96.16,0.185717,-96.16,-12.6806
ILC1-1/7,-0.1800,172.18,0.10818,0.82088,-96.17,0.186238,-96.17,-12.7519
ILC1-1/7,-0.1837,172.67,0.10849,0.82319,-96.19,0.186763,-96.19,-12.8239
ILC1-1/7,-0.1875,173.16,0.10880,0.82552,-96.21,0.187290,-96.21,-12.8964
ILC1-1/7,-0.1913,173.66,0.10911,0.82785,-96.23,0.187821,-96.23,-12.9695
ILC1-1/7,-0.1950,174.16,0.10943,0.83020,-96.24,0.188354,-96.24,-13.0433
ILC1-1/7,-0.1988,174.66,0.10974,0.83257,-96.26,0.188890,-96.26,-13.1177
ILC1-1/7,-0.2025,175.16,0.11006,0.83495,-96.28,0.189430,-96.28,-13.1927
ILC1-1/7,-0.2062,175.67,0.11038,0.83734,-96.30,0.189972,-96.30,-13.2684
ILC1-1/7,-0.2100,176.18,0.11070,0.83974,-96.32,0.190518,-96.32,-13.3447
ILC1-1/7,-0.2137,176.69,0.11102,0.84216,-96.34,0.191066,-96.34,-13.4217
ILC1-1/7,-0.2175,177.21,0.11134,0.84459,-96.35,0.191618,-96.35,-13.4993
ILC1-1/7,-0.2213,177.73,0.11167,0.84704,-96.37,0.192173,-96.37,-13.5776
ILC1-1/7,-0.2250,178.25,0.11200,0.84950,-96.39,0.192731,-96.39,-13.6566
ILC1-1/7,-0.2288,178.78,0.11233,0.85197,-96.41,0.193293,-96.41,-13.7363
ILC1-1/7,-0.2325,179.31,0.11266,0.85446,-96.43,0.193858,-96.43,-13.8167
