 1.33352143e+05  9.99943766e-01  7.49875329e-03 
 1.41253754e+05  9.99949881e-01  7.07932290e-03 
 1.49623566e+05  9.99955331e-01  6.68334821e-03 
 1.58489319e+05  9.99960188e-01  6.30951821e-03 
 1.67880402e+05  9.99964518e-01  5.95659508e-03 
 1.77827941e+05  9.99968376e-01  5.62341007e-03 
 1.88364909e+05  9.99971815e-01  5.30885970e-03 
 1.99526231e+05  9.99974880e-01  5.01190210e-03 
 2.11348904e+05  9.99977612e-01  4.73155361e-03 
 2.23872114e+05  9.99980047e-01  4.46688553e-03 
 2.37137371e+05  9.99982216e-01  4.21702102e-03 
 2.51188643e+05  9.99984150e-01  3.98113225e-03 
 2.66072506e+05  9.99985874e-01  3.75843768e-03 
 2.81838293e+05  9.99987410e-01  3.54819942e-03 
 2.98538262e+05  9.99988779e-01  3.34972084e-03 
 3.16227766e+05  9.99989999e-01  3.16234425e-03 
 3.34965439e+05  9.99991087e-01  2.98544873e-03 
 3.54813389e+05  9.99992056e-01  2.81844808e-03 
 3.75837404e+05  9.99992920e-01  2.66078886e-03 
 3.98107171e+05  9.99993690e-01  2.51194860e-03 
 4.21696503e+05  9.99994376e-01  2.37143402e-03 
 4.46683592e+05  9.99994988e-01  2.23877945e-03 
 4.73151259e+05  9.99995533e-01  2.11354524e-03 
 5.01187234e+05  9.99996019e-01  1.99531634e-03 
 5.30884444e+05  9.99996452e-01  1.88370091e-03 
 5.62341325e+05  9.99996838e-01  1.77832902e-03 
 5.95662144e+05  9.99997181e-01  1.67885143e-03 
 6.30957344e+05  9.99997488e-01  1.58493844e-03 
 6.68343918e+05  9.99997761e-01  1.49627878e-03 
 7.07945784e+05  9.99998005e-01  1.41257860e-03 
 7.49894209e+05  9.99998222e-01  1.33356048e-03 
 7.94328235e+05  9.99998415e-01  1.25896252e-03 
 8.41395142e+05  9.99998587e-01  1.18853746e-03 
 8.91250938e+05  9.99998741e-01  1.12205189e-03 
 9.44060876e+05  9.99998878e-01  1.05928544e-03 
 1.00000000e+06  9.99999000e-01  1.00003006e-03 
